date,oven_id,layer_id,accumulation_hour,lamp_id,anomaly_accumulation_hour,anomaly_total_number
2022/5/4,1B0,10,7565,15_37_117,7565,3
2022/5/4,1B0,15,7350,55_77_98,7350,3
2022/5/4,1B0,17,7403,40_102_17,7406,3
2022/5/4,1C0,11,6804,10_23,6815,2
2022/5/4,1C0,12,7025,20_37,7035,2
2022/5/4,1E0,14,5595,21_82,5595,2
2022/5/4,1G0,1,4230,3_88_91_93,4230,4
2022/5/4,2C0,1,5607,70_93,5607,2
2022/5/4,2E0,13,3790,13_81_85,3790,3
2022/6/2,1B0,14,7896,5_34_38,7896,3
2022/6/2,1C0,9,7610,28_41,7610,2
2022/6/2,1C0,12,7556,52_77,7556,2
2022/6/2,1C0,13,7482,113,7482,1
2022/6/2,1D0,10,7005,26_96_117,7004,3
2022/6/2,1D0,14,6815,41_54_78,6814,3
2022/6/2,1D0,17,6493,107_109,6493,2
2022/6/2,1E0,1,6798,14_17,6798,2
2022/6/2,1E0,7,6572,45_110,6571,2
2022/7/30,1B0,5,8709,22_88,8654,2
2022/7/30,1B0,12,8825,24_28,8774,2
2022/7/30,1B0,19,4137,40_100_113,4085,3
2022/7/30,1C0,1,7936,59,7887,1
2022/7/30,1C0,4,8576,10_41,8526,2
2022/7/30,1C0,6,8464,65_109,8415,2
2022/7/30,1C0,15,8206,66_121,8166,2
2022/7/30,1D0,7,8070,31_54_117,8021,3
2022/7/30,1D0,13,7601,43_81_100,7553,3
2022/7/30,1D0,17,7127,70_106,7081,2
2022/7/30,1D0,18,7370,53_87_111,7321,3
2022/7/30,1E0,1,7524,32_68_92,7477,3
2022/7/30,1E0,15,6255,23_66,6211,2
2022/7/30,1E0,16,6396,32_89,6354,2
2022/8/15,1B0,1,9224,19_28,9214,2
2022/8/15,1B0,2,7968,9_109,7958,2
2022/8/15,1B0,3,9261,12_80_105,8250,3
2022/8/15,1B0,11,8981,18_76_92,8970,3
2022/8/15,1B0,15,8870,10_53_94,8861,3
2022/8/15,1B0,18,8766,71_73_55,8755,3
2022/8/15,1C0,9,8503,40_76,8497,2
2022/8/15,1C0,14,8406,93,8396,1
2022/8/15,1C0,15,8310,40_94,8308,2
2022/8/15,1C0,17,8272,49_109,8263,2
2022/8/15,1D0,1,7914,80_98_104,7905,3
2022/8/15,1D0,10,7961,17_67,7951,2
2022/8/15,1D0,13,7721,8_67_121,7712,3
2022/8/15,1D0,17,7258,34_42_74,7249,3
2022/10/31,2D0,8,8022,114,7996,1
2022/10/31,2D0,11,7267,83_119,7246,2
2022/10/31,2D0,18,7390,8_13_112,7367,3
2022/10/31,2E0,7,6585,80,6561,1
2022/10/31,2E0,9,6377,66_74,6353,2
2022/10/31,2E0,11,5917,74_119,5893,2
2022/11/28,2B0,6,8302,9_18_29,8287,3
2022/11/28,2B0,8,8941,72_98,8826,2
2022/11/28,2B0,11,8196,1_37_120,8183,3
2022/11/28,2C0,1,8680,44_49,8669,2
2022/11/28,2C0,9,8661,60_92,8646,2
2022/11/28,2D0,6,8619,10_49_67_69_85,8606,5
2022/11/28,2E0,4,7298,35_75_80,7289,3
2022/12/28,2B0,9,7501,45_77,7479,2
2022/12/28,2B0,15,7563,67_92,7541,2
2022/12/28,2C0,18,9078,4_72_87,9055,3
2023/2/6,2B0,15,8337,67_90_92,8276,3
2023/2/6,2B0,16,9568,94,9507,1
2023/2/6,2C0,12,9824,4_41_79,9795,3
