日期,oven_id,layer_id,壞掉燈管數(低功率),壞掉燈管數(高功率),進水量,進水溫,出水溫,水冷板A溫度,水冷板B溫度,累積時數,燈管功率(低功率),燈管功率(高功率)
2021/12/27,1B0,1,0,0,11,20.3,24.8,23.3,25.2,5358,59.5,63.5
2021/12/27,1B0,2,0,0,11,20.3,24.8,24.2,22.4,3818,55,59
2021/12/27,1B0,3,0,0,11,20.3,24.8,23.5,23.1,5466,59.5,63.5
2021/12/27,1B0,4,0,0,11,20.3,24.8,24.8,25.7,4681,57.5,61.5
2021/12/27,1B0,5,2,0,11,20.3,24.8,25.1,24.5,5116,59.5,63.5
2021/12/27,1B0,6,0,0,11,20.3,24.8,24.8,23.8,5020,59.5,63.5
2021/12/27,1B0,7,0,0,11,20.3,24.8,25.1,25.1,4855,57.5,61.5
2021/12/27,1B0,8,0,0,11,20.3,24.8,25,24.6,5255,59.5,63.5
2021/12/27,1B0,9,0,0,9,20.3,24.8,27.9,26.9,4880,57.5,61.5
2021/12/27,1B0,10,0,0,11,20.3,24.8,26.1,25.9,5061,59.5,63.5
2021/12/27,1B0,11,0,0,11,20,24.6,29.6,25.9,5075,59.5,63.5
2021/12/27,1B0,12,0,0,11,20,24.6,26.9,25.9,4974,57.5,61.5
2021/12/27,1B0,13,0,0,11,20,24.6,27.7,27,6427,63.5,67.5
2021/12/27,1B0,14,0,0,11,20,24.6,27.7,25.8,4901,57.5,61.5
2021/12/27,1B0,15,0,0,11,20,24.6,26.2,27,4960,57.5,61.5
2021/12/27,1B0,16,0,0,11,20,24.6,26.9,26.6,4934,57.5,61.5
2021/12/27,1B0,17,0,0,11,20,24.6,30.9,26.8,4928,57.5,61.5
2021/12/27,1B0,18,0,0,11,20,24.6,25.6,27.2,4756,57.5,61.5
2021/12/27,1B0,19,0,0,11,20,24.6,26.9,27.2,0,35,39
2021/12/27,1C0,1,0,0,11,22.8,25.5,24.2,23,4759,57.5,61.5
2021/12/27,1C0,2,0,0,11,22.8,25.5,23.1,24,5025,59.5,63.5
2021/12/27,1C0,3,2,0,11,22.8,25.5,24.9,24.3,4699,57.5,61.5
2021/12/27,1C0,4,0,0,11,22.8,25.5,24,24.9,5008,59.5,63.5
2021/12/27,1C0,5,0,0,11,22.8,25.5,24.5,24.3,4557,57.5,61.5
2021/12/27,1C0,6,0,0,11,22.8,25.5,25.3,25.4,4960,57.5,61.5
2021/12/27,1C0,7,0,0,11,22.8,25.5,24.3,25.2,4887,57.5,61.5
2021/12/27,1C0,8,0,0,11,22.8,25.5,24.7,25.2,4771,57.5,61.5
2021/12/27,1C0,9,0,0,10,22.8,25.5,24.7,25.2,4619,57.5,61.5
2021/12/27,1C0,10,0,0,12,22.8,25.5,25.6,25.4,4609,57.5,61.5
2021/12/27,1C0,11,0,0,12,23.4,24.1,25.2,25.9,4349,55.5,59.5
2021/12/27,1C0,12,0,0,12,23.4,24.1,25.2,25,4587,57.5,61.5
