date,oven_id,layer_id,accumulation_hour,anomaly_total_number,lamp_id
2022/1/29,1B0,1,5994.0,3.0,23_26_120
2022/1/9,1B0,1,5599.0,3.0,84_85_87
2022/2/19,1B0,1,6435.0,3.0,98_102_105
2022/3/26,1B0,1,7085.0,2.0,57_74
2022/3/4,1B0,1,6641.0,2.0,10_21
2022/4/1,1B0,1,7203.0,3.0,7_36_51
2022/4/22,1B0,1,7559.0,2.0,55_64
2022/5/11,1B0,1,7872.0,2.0,17_75
2022/5/2,1B0,1,7703.0,2.0,45_71
2022/5/20,1B0,1,8038.0,2.0,3_40
2022/5/29,1B0,1,8206.0,3.0,2_83_99
2022/5/4,1B0,1,7731.0,,
2022/5/6,1B0,1,7775.0,2.0,43_60
2022/6/2,1B0,1,8298.0,,
2022/6/30,1B0,1,8723.0,,
2022/6/8,1B0,1,8407.0,3.0,6_30_83
2022/7/14,1B0,1,8879.0,2.0,53_100
2022/7/30,1B0,1,9093.0,,
2022/7/4,1B0,1,8742.0,2.0,49_111
2022/8/15,1B0,1,18438.0,2.0,19_28
2022/8/24,1B0,1,9295.0,2.0,66_77
2022/9/1,1B0,1,9367.0,,
2022/1/14,1B0,2,4179.0,2.0,38_116
2022/2/19,1B0,2,4919.0,1.0,51
2022/3/28,1B0,2,5727.0,2.0,63_93
2022/4/24,1B0,2,6203.0,3.0,15_95_77
2022/4/29,1B0,2,6293.0,3.0,15_89_113
2022/5/13,1B0,2,6554.0,3.0,38_46_58
2022/5/24,1B0,2,6772.0,2.0,13_44
2022/5/4,1B0,2,6388.0,,
2022/5/9,1B0,2,6486.0,3.0,25_91_97
2022/6/1,1B0,2,6934.0,1.0,55
2022/6/16,1B0,2,7212.0,3.0,76_87_89
2022/6/2,1B0,2,6962.0,,
2022/6/23,1B0,2,7335.0,2.0,29_117
2022/6/28,1B0,2,7419.0,3.0,3_65_79
2022/6/30,1B0,2,7444.0,,
2022/6/6,1B0,2,7012.0,2.0,38_59
2022/7/30,1B0,2,7822.0,,
2022/7/7,1B0,2,7964.0,2.0,17_104
2022/8/15,1B0,2,15926.0,2.0,9_109
2022/9/1,1B0,2,8140.0,,
2022/1/17,1B0,3,5848.0,3.0,56_98_102
2022/1/25,1B0,3,6000.0,3.0,34_77_85
2022/2/17,1B0,3,6421.0,2.0,70_110
2022/2/27,1B0,3,6615.0,3.0,64_68_118
2022/3/10,1B0,3,6811.0,2.0,111 _114
2022/3/23,1B0,3,7021.0,4.0,19_66_83_101
2022/4/11,1B0,3,7393.0,3.0,60_79_98
2022/4/24,1B0,3,7599.0,3.0,43_6_67
2022/5/11,1B0,3,7886.0,2.0,15_113
2022/5/23,1B0,3,8117.0,3.0,23_95_121
2022/5/29,1B0,3,8223.0,2.0,85_109
