oven_id  layer_id  sequence_length
    1B0         1               22
    1B0         2               20
    1B0         3               23
    1B0         4               27
    1B0         5               21
    1B0         6               15
    1B0         7               18
    1B0         8               21
    1B0         9               22
    1B0        10               13
    1B0        11               21
    1B0        12               17
    1B0        13               12
    1B0        14               16
    1B0        15               17
    1B0        16               15
    1B0        17               16
    1B0        18               13
    1B0        19                6
    1C0         1               39
    1C0         2               23
    1C0         3               17
    1C0         4               22
    1C0         5               20
    1C0         6               24
    1C0         7               16
    1C0         8               18
    1C0         9               15
    1C0        10               16
    1C0        11               18
    1C0        12               10
    1C0        13               21
    1C0        14               16
    1C0        15               14
    1C0        16               11
    1C0        17               17
    1C0        18               14
    1C0        19               15
    1D0         1               23
    1D0         2               21
    1D0         3               10
    1D0         4               13
    1D0         5               15
    1D0         6               15
    1D0         7                9
    1D0         8               12
    1D0         9               12
    1D0        10                9
    1D0        11               14
    1D0        12               19
    1D0        13               14
    1D0        14               14
    1D0        15               12
    1D0        16               12
    1D0        17               16
    1D0        18               11
    1D0        19               10
    1E0         1               20
    1E0         2               13
    1E0         3               12
    1E0         4               11
    1E0         5               11
    1E0         6               13
    1E0         7               13
    1E0         8               13
    1E0         9                9
    1E0        10                6
    1E0        11               14
    1E0        12               15
    1E0        13               16
    1E0        14               13
    1E0        15               14
    1E0        16               22
    1E0        17               10
    1E0        18               14
    1E0        19               10
    1G0         1                8
    1G0         2                8
    1G0         3                6
    1G0         4                6
    1G0         5                6
    1G0         6                6
    1G0         7                7
    1G0         8                6
    1G0         9                6
    1G0        10                6
    1G0        11                6
    1G0        12                6
    1G0        13                8
    1G0        14                6
    1G0        15                6
    1G0        16                6
    1G0        17                6
    1G0        18                6
    1G0        19                6
    2B0         1               18
    2B0         2               19
    2B0         3               20
    2B0         4               25
    2B0         5               21
    2B0         6               21
    2B0         7               26
    2B0         8               23
    2B0         9               18
    2B0        10               20
    2B0        11               32
    2B0        12               22
    2B0        13               28
    2B0        14               30
    2B0        15               22
    2B0        16               31
    2B0        17               21
    2B0        18               18
    2B0        19               20
    2C0         1               28
    2C0         2               25
    2C0         3               17
    2C0         4               15
    2C0         5               19
    2C0         6               22
    2C0         7               15
    2C0         8               28
    2C0         9               16
    2C0        10               18
    2C0        11               25
    2C0        12               23
    2C0        13               18
    2C0        14               16
    2C0        15               13
    2C0        16               17
    2C0        17               19
    2C0        18               17
    2C0        19               17
    2D0         1               21
    2D0         2               18
    2D0         3               18
    2D0         4               20
    2D0         5               20
    2D0         6               14
    2D0         7               20
    2D0         8               19
    2D0         9               15
    2D0        10               13
    2D0        11               33
    2D0        12               17
    2D0        13               17
    2D0        14               16
    2D0        15               18
    2D0        16               17
    2D0        17               18
    2D0        18               16
    2D0        19               16
    2E0         1               18
    2E0         2               19
    2E0         3               13
    2E0         4               21
    2E0         5               20
    2E0         6               15
    2E0         7               23
    2E0         8               23
    2E0         9               22
    2E0        10               16
    2E0        11               18
    2E0        12               16
    2E0        13               16
    2E0        14               15
    2E0        15               15
    2E0        16               15
    2E0        17               13
    2E0        18               14
    2E0        19               13
    2G0         1               11
    2G0         2               11
    2G0         3               11
    2G0         4               11
    2G0         5               11
    2G0         6               11
    2G0         7               11
    2G0         8               12
    2G0         9               11
    2G0        10               12
    2G0        11               11
    2G0        12               11
    2G0        13               11
    2G0        14               11
    2G0        15               11
    2G0        16               11
    2G0        17               11
    2G0        18               11
    2G0        19               11
